artist,album,name,popularity,release_date,track_number,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,duration_min
BABY,Rebuilt From Memory,American Dream,2,2021-07-23,1,0.42,0.624,-8.377,0.0349,0.176,0.000537,0.0782,0.343,3.366616666666667
BABY,Rebuilt From Memory,Chipmunk,3,2021-07-23,2,0.387,0.781,-7.671,0.04,0.0295,0.0,0.432,0.487,1.9813
BABY,Rebuilt From Memory,Remote Control,2,2021-07-23,3,0.391,0.487,-8.645,0.0325,0.528,0.00425,0.136,0.574,3.516
BABY,Rebuilt From Memory,Honeycomb,3,2021-07-23,4,0.318,0.542,-7.424,0.0299,0.208,0.00122,0.0978,0.409,3.4447833333333335
BABY,Rebuilt From Memory,Smoke Signals,1,2021-07-23,5,0.457,0.406,-8.8,0.0287,0.0764,0.0751,0.0867,0.59,4.258683333333333
BABY,Rebuilt From Memory,Melt,1,2021-07-23,6,0.321,0.508,-8.4,0.0379,0.0283,2.69e-05,0.101,0.447,5.044683333333333
BABY,Rebuilt From Memory,Angel,0,2021-07-23,7,0.441,0.262,-10.529,0.0517,0.601,2.98e-06,0.091,0.21,2.8228833333333334
BABY,Rebuilt From Memory,Possibilities,1,2021-07-23,8,0.367,0.762,-8.05,0.0479,0.00624,1.94e-05,0.386,0.531,3.466666666666667
BABY,Rebuilt From Memory,Blake,2,2021-07-23,9,0.438,0.532,-8.683,0.0332,0.111,7.53e-06,0.202,0.415,4.676433333333334
BABY,Chipmunk,Chipmunk,0,2021-06-18,1,0.387,0.781,-7.671,0.04,0.0295,0.0,0.432,0.487,1.9813
BABY,Remote Control,Remote Control,0,2021-05-21,1,0.391,0.487,-8.645,0.0325,0.528,0.00425,0.136,0.574,3.516
BABY,Inertia,Lazy Bones,1,2019-05-03,1,0.401,0.765,-6.192,0.0369,0.000496,5.26e-06,0.113,0.573,1.9166666666666667
BABY,Inertia,Coin,0,2019-05-03,2,0.31,0.797,-4.638,0.0381,0.0133,0.0,0.132,0.619,3.1
BABY,Inertia,Marriage,2,2019-05-03,3,0.389,0.597,-7.123,0.0328,0.0258,0.00788,0.175,0.491,2.9833333333333334
BABY,Time,Time,2,2016-11-29,1,0.214,0.678,-8.436,0.0391,2.79e-05,2.74e-05,0.153,0.531,3.1333333333333333
TNB,null,Snowed In,2,2022-02-25,1,0.584,0.526,-10.476,0.0344,0.158,0.072,0.134,0.384,5.099916666666667
TNB,null,Catastrophist,1,2022-02-25,2,0.511,0.53,-10.051,0.0303,0.324,0.279,0.13,0.146,4.6798
TNB,null,Insomnia,2,2022-02-25,3,0.338,0.517,-12.249,0.0391,0.272,0.151,0.108,0.137,5.344916666666666
TNB,null,Recidivism,0,2022-02-25,4,0.483,0.708,-10.989,0.0338,0.16,0.151,0.216,0.396,4.06045
TNB,null,Good Days,0,2022-02-25,5,0.253,0.123,-23.311,0.036,0.65,0.505,0.0731,0.0377,3.5462833333333332
TNB,null,Lavender,0,2022-02-25,6,0.364,0.576,-9.672,0.038,0.15,0.0032,0.124,0.194,4.2449666666666666
TNB,null,Every Day's the Same,0,2022-02-25,7,0.203,0.57,-9.949,0.0381,4.99e-05,0.948,0.117,0.0764,2.2297166666666666
TNB,null,Monomania,0,2022-02-25,8,0.474,0.599,-10.781,0.0327,0.0247,4.93e-05,0.369,0.421,5.030483333333334
TNB,null,On the End,0,2022-02-25,9,0.567,0.544,-11.26,0.0293,0.0326,0.000159,0.11,0.566,5.348416666666667
TNB,A Pendulum Ache,The Myth,0,2018-03-03,1,0.241,0.493,-13.191,0.0363,0.00906,0.00237,0.0917,0.398,2.9706
TNB,A Pendulum Ache,On Implosion,0,2018-03-03,2,0.356,0.482,-12.368,0.0366,0.0424,0.068,0.391,0.4,3.558333333333333
TNB,A Pendulum Ache,Culpability,0,2018-03-03,3,0.411,0.41,-16.131,0.028,0.00757,7.1e-05,0.281,0.491,4.316666666666666
TNB,A Pendulum Ache,Moon,0,2018-03-03,4,0.351,0.364,-16.978,0.0323,0.52,8.02e-05,0.334,0.401,4.216666666666667
TNB,A Pendulum Ache,Hopelessness Stones,0,2018-03-03,5,0.494,0.375,-14.927,0.0305,0.58,0.0706,0.323,0.271,4.633333333333334
TNB,A Pendulum Ache,Waterlogged Worries,0,2018-03-03,6,0.427,0.564,-15.275,0.0423,0.21,0.00265,0.0953,0.603,3.4583333333333335
TNB,A Pendulum Ache,Chameleonic,0,2018-03-03,7,0.337,0.391,-17.572,0.0327,0.0697,0.000187,0.154,0.3,4.960416666666666
TNB,A Pendulum Ache,Until My Day,0,2018-03-03,8,0.391,0.0994,-20.576,0.0416,0.9,0.0268,0.119,0.132,3.675
